구,업종명,사업장명,인허가일자,영업상태,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지지번주소,소재지도로명주소,데이터기준일자
분당구,제과점영업,안데르센 과자점,2008-08-22,영업중,-,-,-,-,51.86,"경기도 성남시 분당구 정자동 17-2번지 백궁동양파라곤 제 1층 101호, 102호일부","경기도 성남시 분당구 느티로 22 (정자동,백궁동양파라곤 제 1층 101호, 102호일부)",2021-03-31
분당구,제과점영업,파리바게뜨,2008-10-07,영업중,-,-,-,-,27.51,경기도 성남시 분당구 구미동 23-1번지 분당프라자 123호 일부,"경기도 성남시 분당구 돌마로 68 (구미동,분당프라자 123호 일부)",2021-03-31
분당구,제과점영업,코코호도서현점,2008-10-16,영업중,-,-,-,-,39.78,경기도 성남시 분당구 서현동 245-4번지 엘지분당에클라트2차 1층 109호,"경기도 성남시 분당구 서현로 204 (서현동,엘지분당에클라트2차 1층 109호)",2021-03-31
분당구,제과점영업,떡보의 하루,2011-03-24,영업중,-,-,-,-,25.9,경기도 성남시 분당구 금곡동 141번지 근린상가동 1층 105호,"경기도 성남시 분당구 미금로 215 (금곡동,근린상가동 1층 105호)",2021-03-31
분당구,제과점영업,빵터지는 집,2011-03-25,영업중,-,-,-,-,29.36,경기도 성남시 분당구 서현동 88번지 지엔느 오피스텔 1층 126호,"경기도 성남시 분당구 중앙공원로39번길 49 (서현동,지엔느 오피스텔 1층 126호)",2021-03-31
분당구,제과점영업,파리바게뜨 분당수내카페점,2011-03-30,영업중,-,-,-,-,0,"경기도 성남시 분당구 수내동 79-1번지 그랜드빌딩 지상1층 110호, 111호","경기도 성남시 분당구 돌마로356번길 3, 지상1층 110호, 111호 (수내동, 그랜드빌딩)",2021-03-31
분당구,제과점영업,분당장안타운파리바게뜨,2011-04-07,영업중,-,-,-,-,12.8,경기도 성남시 분당구 서현동 312-2번지 서현굿모닝프라자 1층 일부,"경기도 성남시 분당구 분당로263번길 35 (서현동,서현굿모닝프라자 1층 일부)",2021-03-31
분당구,제과점영업,오팡,2014-08-04,영업중,-,-,-,-,39.78,경기도 성남시 분당구 서현동 94-3번지 우성종합상가 49동 115호,"경기도 성남시 분당구 중앙공원로40번길 42, 49동 115호 (서현동, 우성종합상가 )",2021-03-31
수정구,제과점영업,바로빵베이커리,2014-09-03,영업중,-,-,-,-,42.05,경기도 성남시 수정구 태평동 3307-72번지 1층,"경기도 성남시 수정구 남문로 98, 1층 (태평동)",2021-03-31
분당구,제과점영업,라뜰리에,2004-10-11,영업중,-,-,-,-,54.94,경기도 성남시 분당구 금곡동 208 삼라마이다스빌 111호,"경기도 성남시 분당구 정자일로 21 (금곡동,삼라마이다스빌 111호)",2021-03-31
분당구,제과점영업,베이커리(BAKERY) 서현점,2008-11-12,영업중,-,-,-,-,4.18,경기도 성남시 분당구 서현동 306-1 1층 일부,"경기도 성남시 분당구 불정로 382 (서현동,1층 일부)",2021-03-31
분당구,제과점영업,본아뻬띠,2008-11-13,영업중,-,-,-,-,29.69,경기도 성남시 분당구 수내동 56번지 주상복합상가 1층 112호,"경기도 성남시 분당구 내정로166번길 7-6 (수내동,주상복합상가 1층 112호)",2021-03-31
수정구,제과점영업,파리바게트성남동서울대점,2008-11-19,영업중,-,-,-,-,81.7,경기도 성남시 수정구 복정동 677-8 1층,"경기도 성남시 수정구 복정로 77, 1층 (복정동)",2021-03-31
분당구,제과점영업,베이커리(BAKERY) 분당점,2009-01-23,영업중,-,-,-,-,0.95,경기도 성남시 분당구 분당동 90-1 한일빌딩 1층 일부,"경기도 성남시 분당구 장안로 39 (분당동,한일빌딩 1층 일부)",2021-03-31
중원구,제과점영업,파리바게트,2009-02-02,영업중,-,-,-,-,91.2,경기도 성남시 중원구 금광동 2879번지,"경기도 성남시 중원구 금빛로 97, 1층 (금광동)",2021-03-31
분당구,제과점영업,파리바게뜨 분당샤모니점,2009-03-16,영업중,-,-,-,-,82.65,경기도 성남시 분당구 야탑동 353-4번지 두만프라자 106호,"경기도 성남시 분당구 야탑로69번길 24-6, 106호 (야탑동,두만프라자)",2021-03-31
수정구,제과점영업,파리바게뜨(수진역점),2009-03-16,영업중,-,-,-,-,101.98,경기도 성남시 수정구 수진동 2203번지 1층,"경기도 성남시 수정구 산성대로 203 (수진동,1층)",2021-03-31
분당구,제과점영업,파리바게뜨 판교테크노점,2011-04-15,영업중,-,-,-,-,99.84,경기도 성남시 분당구 삼평동 680번지 에이치스퀘어 에스동 1층 132호,"경기도 성남시 분당구 판교역로 231 (삼평동,  에이치스퀘어 에스동 1층 132호 )",2021-03-31
