업종명,업소명,소재지(도로명),소재지전화,관할기관,기준일자
건강기능식품일반판매업,이든네이처 구리중앙지사,경기도 구리시 안골로57번길 14-11  1층 (수택동),,구리시청,2021-05-07
건강기능식품일반판매업,김경아,경기도 구리시 장자대로111번길 12  302동 1103호 (토평동  삼성아파트),,구리시청,2021-05-07
건강기능식품일반판매업,64정스겔러리,경기도 구리시 동구릉로231번길 13-1  1층 (인창동),0704-1072-111,구리시청,2021-05-07
건강기능식품일반판매업,노브랜드 구리인창점,경기도 구리시 동구릉로136번길 33  삼성전자디지털센터 1층 (인창동),031 -554 -4782,구리시청,2021-05-07
건강기능식품일반판매업,애터미,경기도 구리시 체육관로 45  101동 807호 (교문동  우성아파트),,구리시청,2021-05-07
건강기능식품일반판매업,(주)브이디오피스,경기도 구리시 동구릉로459번길 80  소매점 및 단독주택 1층 (사노동),,구리시청,2021-05-07
건강기능식품일반판매업,차밍,경기도 구리시 경춘로227번길 205-1 (인창동),,구리시청,2021-05-07
건강기능식품일반판매업,하나로기프트,경기도 구리시 안골로 10-1  1층 (교문동),031 -567 -6545,구리시청,2021-05-07
건강기능식품일반판매업,아모레구리특약점,경기도 구리시 건원대로 44 (인창동 태영프라자 308호), 031- 552-3896,구리시청,2021-05-07
건강기능식품일반판매업,청담뷰티,경기도 구리시 건원대로76번길 34 (인창동  삼보아파트 상가동 128호),,구리시청,2021-05-07
건강기능식품일반판매업,대지무역,경기도 구리시 건원대로34번길 27  4층 437호 (인창동  세신인창종합상가),,구리시청,2021-05-07
건강기능식품일반판매업,유니베라 구리대리점,경기도 구리시 건원대로34번길 9 (인창동 세신리빙프라자 9층 906), 031- 553-6611,구리시청,2021-05-07
건강기능식품일반판매업,뉴트리코어,경기도 구리시 경춘로 261  롯데백화점 구리점 지층 (인창동),,구리시청,2021-05-07
건강기능식품일반판매업,메이퓨어의원,경기도 구리시 검배로 5  우진빌딩 2층 (수택동),031 -557 -9969,구리시청,2021-05-07
건강기능식품일반판매업,더아리따움 수택사거리점,경기도 구리시 검배로 35  하나로고시텔 1층 (수택동),,구리시청,2021-05-07
건강기능식품일반판매업,주식회사 닥터헬퍼,경기도 구리시 경춘북로251번길 71  1층 (갈매동),,구리시청,2021-05-07
건강기능식품일반판매업,지쿱구리,경기도 구리시 이문안로113번길 16  지층 (수택동),,구리시청,2021-05-07
건강기능식품일반판매업,해랑사,경기도 구리시 아차산로 375-8  405호 (교문동  그린빌),,구리시청,2021-05-07
건강기능식품일반판매업,해피건식,경기도 구리시 장자대로 72 (수택동 3층), 031- 565-2851,구리시청,2021-05-07
건강기능식품일반판매업,꽃순이상사,경기도 구리시 아차산로500번길 54 (교문동 진양하이츠 4-59),,구리시청,2021-05-07
건강기능식품일반판매업,애터미,경기도 구리시 동구릉로129번길 23  인창2차이-편한세상 110동 601호 (인창동  인창2차이-편한세상),,구리시청,2021-05-07
건강기능식품일반판매업,한사람몰,경기도 구리시 체육관로 42  상가동 지하층 1 2 3호 (수택동),,구리시청,2021-05-07
건강기능식품일반판매업,주식회사 파나팜,경기도 구리시 건원대로 87  백영빌딩 401호 (인창동),,구리시청,2021-05-07
건강기능식품일반판매업,씨제이올리브영(주) 구리인창점,경기도 구리시 건원대로 42 (인창동  삼원골드프라자102 103 104 105호),031 -555 -5380,구리시청,2021-05-07
건강기능식품일반판매업,열린건강식품,경기도 구리시 경춘로227번길 14  301호 (인창동  상원빌딩),,구리시청,2021-05-07
건강기능식품일반판매업,러브쏘,경기도 구리시 동구릉로 151  102동 1708호 (인창동  건영아파트),,구리시청,2021-05-07
건강기능식품일반판매업,블루네이션 컴퍼니,경기도 구리시 산마루로 18  501 502호 (갈매동),,구리시청,2021-05-07
건강기능식품일반판매업,디몰(Dmall),경기도 구리시 건원대로 42  삼원골드프라자 314호 (인창동),031 -554 -0700,구리시청,2021-05-07
건강기능식품일반판매업,(주)유신인터내셔널,경기도 구리시 건원대로34번길 27 (인창동 세신인창종합상가 806호),031 -568 -5355,구리시청,2021-05-07
건강기능식품일반판매업,동하,경기도 구리시 갈매순환로204번길 65  904호 (갈매동),,구리시청,2021-05-07
건강기능식품일반판매업,44미코,경기도 구리시 건원대로34번길 77  605동 302호 (인창동 주공아파트),,구리시청,2021-05-07
건강기능식품일반판매업,(주)콜라지코리아,경기도 구리시 경춘로 261 (인창동  롯데쇼핑 지하1층),,구리시청,2021-05-07
건강기능식품일반판매업,홍삼나라,경기도 구리시 동구릉로 93  703동 1507호 (인창동  아름마을일신아파트),,구리시청,2021-05-07
건강기능식품일반판매업,(주)아오테아로아,경기도 구리시 담터길 37 (갈매동  201호),,구리시청,2021-05-07
건강기능식품일반판매업,임마누엘,경기도 구리시 이문안로 105 (수택동  1층),031 -556 -3151,구리시청,2021-05-07
건강기능식품일반판매업,(주)두드림 파트너스,경기도 구리시 안골로 49  용덕빌딩 7층 709-8호 (교문동),031 -555 -4993,구리시청,2021-05-07
건강기능식품일반판매업,모닝클럽웰빙테마센터,경기도 구리시 이문안로139번길 16-46 (수택동 (1층)),070 -7749-3646,구리시청,2021-05-07
건강기능식품일반판매업,예지라인,경기도 구리시 경춘로 205-1 (인창동 나동 103호),,구리시청,2021-05-07
건강기능식품일반판매업,GS25 구리해원점,경기도 구리시 이문안로 95  해원빌딩 1층 104호 (수택동),,구리시청,2021-05-07
건강기능식품일반판매업,하나기업,경기도 구리시 동구릉로136번길 37 (인창동  아이원패션로데어타운 B동 205호),031 -551 -1333,구리시청,2021-05-07
건강기능식품일반판매업,민구팡,경기도 구리시 아치울길22번길 39  2층 (아천동),,구리시청,2021-05-07
건강기능식품일반판매업,임정화,경기도 구리시 검배로9번길 12-1 (수택동 1~2층),,구리시청,2021-05-07
건강기능식품일반판매업,(주)클릭준아이엔티,경기도 구리시 동구릉로459번길 6  지하1층 (사노동),031 -529 -3874,구리시청,2021-05-07
건강기능식품일반판매업,씨유 구리토평점,경기도 구리시 벌말로 188 (토평동 오성타운 2차상가 1층101호), 031- 569-4205,구리시청,2021-05-07
건강기능식품일반판매업,우림DIO,경기도 구리시 안골로19번길 31  1층 (교문동),,구리시청,2021-05-07
건강기능식품일반판매업,금강,경기도 구리시 건원대로 56 (인창동),,구리시청,2021-05-07
건강기능식품일반판매업,최형욱,경기도 구리시 경춘로148번길 35  102호 (교문동),,구리시청,2021-05-07
